section,metric,value
time_alignment,offset_est_s,-4.21
time_alignment,offset_err_ms,
time_alignment,xcorr_peak_normalized,0.9465003260527901
time_alignment,xcorr_psr,13.044564575440234
time_alignment,omega_rmse_before,0.26697903507940174
time_alignment,omega_rmse_after,0.07185570232238402
time_alignment,omega_rmse_improve_pct,73.0856386151278
step2_residuals,rot_res_mean_deg,0.01253568575947661
step2_residuals,rot_res_median_deg,0.010676385717532115
step2_residuals,rot_res_p95_deg,0.028082510331640616
step2_residuals,trans_eq_rmse_m,0.00022095332813807834
step2_residuals,trans_eq_p95_m,0.0003577380120041786
step2_residuals,translation_system_cond,1.8796175516632205
step2_residuals,translation_constraints,24182.0
trajectory,ate_rmse_raw_m,2.6410573793296823
trajectory,ate_rmse_step2_m,2.6776958188905877
trajectory,ate_rmse_step3_m,0.05701764800833829
trajectory,ate_p95_raw_m,2.889131399408301
trajectory,ate_p95_step2_m,2.937337775503658
trajectory,ate_p95_step3_m,0.08988012969401776
trajectory,ate_rmse_improve_raw_to_step3_pct,97.84110529155606
trajectory,ate_rmse_improve_step2_to_step3_pct,97.87064506703602
sanity_check,extrinsic_rotation_error_deg,
sanity_check,extrinsic_translation_error_m,
sanity_check,world_rotation_error_deg,
sanity_check,world_translation_error_m,
estimated_params,offset_s,-4.21
