# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.51214 0.002838 0.000289 0.000852 0.826838 0.001484 0.562417 0.004867 0.0002930138 -0.0000000000 0.0000000017 0.0002930113 0.0000000000 0.0002930127 0.0025017355 -0.0000000002 -0.0000000410 0.0025017378 -0.0000000042 0.0025010172
1403715278.56214 0.006419 0.001126 0.003255 0.823966 0.000233 0.566622 0.004321 0.0002980206 -0.0000000000 0.0000000024 0.0002980169 0.0000000001 0.0002980187 0.0025060610 -0.0000000021 -0.0000002114 0.0025060719 -0.0000000372 0.0025023301
1403715278.61214 0.011350 0.002331 0.007698 0.821147 -0.000982 0.570705 0.003600 0.0003050259 -0.0000000001 0.0000000029 0.0003050227 0.0000000003 0.0003050239 0.0025162895 -0.0000000077 -0.0000006727 0.0025163258 -0.0000001385 0.0025042407
1403715278.66214 0.017719 0.004029 0.014516 0.819871 -0.000547 0.572529 0.004599 0.0003140300 -0.0000000003 0.0000000031 0.0003140283 0.0000000008 0.0003140278 0.0025368026 -0.0000000209 -0.0000016593 0.0025368901 -0.0000003786 0.0025068186
1403715278.71234 0.025769 0.005875 0.024219 0.818741 -0.002850 0.574149 0.002867 0.0003194159 -0.0000073660 0.0000060112 0.0003139072 0.0000054139 0.0003125652 0.0025715281 0.0000017953 -0.0000032609 0.0025717623 -0.0000009421 0.0025100759
1403715278.76294 0.044894 0.009950 0.034880 0.820666 -0.004119 0.571392 0.000550 0.0002609002 0.0000048956 -0.0000833611 0.0000302795 0.0000106203 0.0000509623 0.0025073434 0.0000034002 0.0000025253 0.0025035401 -0.0000002247 0.0025056484
1403715278.81206 0.057833 0.011714 0.047788 -0.818211 0.004659 -0.574898 0.001289 0.0002582697 0.0000017599 -0.0000871121 0.0000251833 0.0000069517 0.0000478972 0.0025078575 0.0000030506 0.0000038032 0.0025039383 0.0000001054 0.0025064540
1403715278.86207 0.070071 0.013403 0.063711 -0.815837 0.005288 -0.578250 0.002993 0.0002595934 0.0000000212 -0.0000861227 0.0000237594 0.0000055880 0.0000439231 0.0025107807 0.0000038099 0.0000054115 0.0025051027 0.0000002759 0.0025081846
1403715278.91209 0.085713 0.016322 0.081598 -0.815880 0.005337 -0.578189 0.002900 0.0002601569 -0.0000005615 -0.0000855250 0.0000229438 0.0000054543 0.0000436991 0.0025147947 0.0000050609 0.0000074086 0.0025070852 0.0000004233 0.0025106398
1403715278.96209 0.099282 0.018023 0.098353 -0.815113 0.005035 -0.579275 0.002532 0.0002604412 -0.0000001461 -0.0000853740 0.0000235339 0.0000053744 0.0000440570 0.0025222290 0.0000074356 0.0000104204 0.0025103996 0.0000008265 0.0025138054
